Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,type
Speedway 4654,1600 Seminole Trl,NA,Charlottesville,VA,22901,1420,ALBEMARLE,-78.475555,38.080601,1688,convenience
Mini Mart,852 W Main St,Ste 108,Charlottesville,VA,22903,3494,CHARLOTTESVILLE,-78.493858,38.031883,1782,convenience
Dollar Tree 152,2020 Rio Hill Ctr,NA,Charlottesville,VA,22901,1150,ALBEMARLE,-78.471489,38.088131,3038,convenience
Food Lion 2189,11010 Kentucky Springs Rd,NA,Mineral,VA,23117,NA,LOUISA,-77.850929,38.079636,4923,large_grocery
Fas Mart 3516,1248 Crozet Ave,NA,Crozet,VA,22932,3131,ALBEMARLE,-78.700302,38.070221,5600,convenience
Food Lion 1186,585 Branchlands Blvd,NA,Charlottesville,VA,22901,1791,ALBEMARLE,-78.478973,38.072906,5743,large_grocery
Corner Market,11309 James River Rd,NA,Shipman,VA,22971,2308,NELSON,-78.851448,37.724098,5825,small_grocery
CVS 8288,9026 Seminole Trl,NA,Ruckersville,VA,22968,3319,GREENE,-78.368355,38.234962,9816,convenience
Nelson Food Market,40 Front St,NA,Lovingston,VA,22949,2346,NELSON,-78.874855,37.753376,12603,small_grocery
Kroger 239,1904 Emmet St N,NA,Charlottesville,VA,22901,2815,ALBEMARLE,-78.492554,38.060581,14204,large_grocery
Food Lion 1531,85 Callohill Dr,NA,Lovingston,VA,22949,9701,NELSON,-78.877434,37.753792,14992,large_grocery
Whole Foods Market 10205,1797 Hydraulic Rd,NA,Charlottesville,VA,22901,2835,ALBEMARLE,-78.490173,38.060059,16445,large_grocery
REID SUPER SAVE MKT 3,600 Preston Ave,NA,Charlottesville,VA,22903,4538,CHARLOTTESVILLE,-78.485916,38.035106999999996,16803,small_grocery
Brown's,1218 Avon St,NA,Charlottesville,VA,22902,6304,CHARLOTTESVILLE,-78.482239,38.019993,17094,small_grocery
Circle K 2723206,1099 Rio Rd E,NA,Charlottesville,VA,22901,1805,ALBEMARLE,-78.465683,38.066177,17729,convenience
Speedway 4652,1172 Richmond Rd,NA,Charlottesville,VA,22911,3516,ALBEMARLE,-78.45607,38.033798,19786,convenience
Speedway 4653,2235 Seminole Ln,NA,Charlottesville,VA,22901,8300,ALBEMARLE,-78.464127,38.097363,19788,convenience
Hilltop Produce And Seafood,78 Zion Park Ct,NA,Troy,VA,22974,2814,FLUVANNA,-78.213531,37.966541,20033,small_grocery
El Tio Variedades Internacionales,259 Ridge Mcintire Rd,NA,Charlottesville,VA,22903,5043,CHARLOTTESVILLE,-78.48494,38.031902,23522,small_grocery
Johnnys Quikstop,2172 Pendleton Rd,NA,Mineral,VA,23117,3918,LOUISA,-77.897522,37.9907,27035,convenience
Country Corner Market,14 Doctors Rd,NA,Louisa,VA,23093,6013,LOUISA,-78.118469,38.102055,28725,small_grocery
Stop In Food Stores 70,2212 Ivy Rd,NA,Charlottesville,VA,22903,4976,CHARLOTTESVILLE,-78.515282,38.044735,29018,convenience
The Market At Mill Creek 83,1345 Parham Cir,NA,Charlottesville,VA,22902,8728,CHARLOTTESVILLE,-78.497337,37.999474,30568,convenience
The Maket At Pantops 60,1192 Richmond Rd,NA,Charlottesville,VA,22911,3516,ALBEMARLE,-78.45594,38.033798,30571,convenience
5th Street Exxon 50,1154 5th St Sw,NA,Charlottesville,VA,22902,6470,CHARLOTTESVILLE,-78.502731,38.011967,30604,convenience
7-eleven 35272A,3455 Seminole Trl,NA,Charlottesville,VA,22911,5637,ALBEMARLE,-78.436569,38.130928,32032,convenience
FLOWERS BAKERY STORE 4656,360 Greenbrier Dr,NA,Charlottesville,VA,22901,1619,ALBEMARLE,-78.486626,38.071556,34802,small_grocery
The Market At Preston Ave 65,601 Preston Ave,NA,Charlottesville,VA,22903,4537,CHARLOTTESVILLE,-78.485878,38.035378,35538,convenience
New Bridge Market,2983 New Bridge Rd,NA,Mineral,VA,23117,4866,LOUISA,-77.827019,38.084419,37409,small_grocery
S Fuel Co,901 E Market St,NA,Charlottesville,VA,22902,5342,CHARLOTTESVILLE,-78.475212,38.029648,39855,convenience
Food Lion 864,1740 Timberwood Blvd,NA,Charlottesville,VA,22911,7593,ALBEMARLE,-78.437149,38.128872,40106,large_grocery
Food Depot 609,502 E Main St,NA,Louisa,VA,23093,4100,LOUISA,-77.990334,38.019463,40845,small_grocery
Belsches Kwik Stop,17330 Belsches Rd,NA,Bumpass,VA,23024,2102,LOUISA,-77.700424,37.922626,45014,convenience
7 Eleven 16543,385 Greenbrier Dr,NA,Charlottesville,VA,22901,1618,ALBEMARLE,-78.485825,38.071045,45877,convenience
Fas Mart 3530,450 E Main St,NA,Louisa,VA,23093,6518,LOUISA,-77.992439,38.019875,47134,convenience
Greene Farmers Market,40 Celt Rd,NA,Stanardsville,VA,22973,3001,GREENE,-78.441139,38.296803,47327,small_grocery
7-Eleven Inc F 35273A,1907 Emmet St N,NA,Charlottesville,VA,22901,2814,ALBEMARLE,-78.491882,38.062012,48325,convenience
Tom Thumb Food Mart,828 Cherry Ave,NA,Charlottesville,VA,22903,3457,CHARLOTTESVILLE,-78.494133,38.028679,51221,large_grocery
Dollar General 18577,5671 Lowesville Rd,NA,Piney River,VA,22964,NA,NELSON,-79.020088,37.71759,51832,convenience
Easy Mart,507 Stewart St,NA,Charlottesville,VA,22902,5439,CHARLOTTESVILLE,-78.464867,38.030853,52680,convenience
Gum Springs Pit Stop 532,1300 Cross County Rd,NA,Mineral,VA,23117,2529,LOUISA,-77.885338,37.782753,53342,convenience
African Market Place Llc,1901 Commonwealth Dr,NA,Charlottesville,VA,22901,2338,ALBEMARLE,-78.496292,38.066753,55489,small_grocery
Trader Joes 661,2025 Bond St,NA,Charlottesville,VA,22901,NA,ALBEMARLE,-78.491112,38.064308,56811,large_grocery
Walgreens 17477,74 Tanbark Plz,NA,Lovingston,VA,22949,2464,NELSON,-78.872162,37.761059,58112,convenience
Food Lion 253,570 RIVERBEND DR.,NA,CHARLOTTESVILLE,VA,22902,NA,CHARLOTTESVILLE,-78.456367,38.030945,59554,large_grocery
Food Lion 238,1131 5th St SW,NA,Charlottesville,VA,22902,6464,CHARLOTTESVILLE,-78.501701,38.013115,59566,large_grocery
Rebeccas Natural Food,1141 Emmet St N,NA,Charlottesville,VA,22903,4837,CHARLOTTESVILLE,-78.500145,38.051945,59895,small_grocery
ARRINGTON MINI MART,12 Variety Mills Rd,NA,Arrington,VA,22922,2701,NELSON,-78.900391,37.683159,60070,convenience
Dollar General 20472,1372 Bumpass Rd,NA,Bumpass,VA,23024,4226,LOUISA,-77.732498,37.964394,60286,convenience
Millers Market,628 Mineral Ave,NA,Mineral,VA,23117,4011,LOUISA,-77.908485,38.004688,62857,small_grocery
HARRIS TEETER 132,159 Community St,NA,Charlottesville,VA,22911,5602,ALBEMARLE,-78.442902,38.127724,68959,large_grocery
Dollar General 0431,5742 Three Notch D Rd,NA,Crozet,VA,22932,3107,ALBEMARLE,-78.698502,38.069286,70182,convenience
The Store,1201 6th St SE,NA,Charlottesville,VA,22902,6308,CHARLOTTESVILLE,-78.483887,38.020599,71074,small_grocery
Food Lion 959,264 Turkey Sag Trail,NA,Palmyra,VA,22963,NA,FLUVANNA,-78.342216,37.90432,73169,large_grocery
INTEGRAL YOGA NAT. FOODS,923 Preston Ave,Ste H,Charlottesville,VA,22903,4446,CHARLOTTESVILLE,-78.490097,38.038284,73779,small_grocery
GREENE GREAT VALU INC,8271 Spotswood Trl,NA,Stanardsville,VA,22973,2848,GREENE,-78.443504,38.297253,74980,large_grocery
Fas Mart 3543,240 Rolkin Rd,NA,Charlottesville,VA,22911,3536,ALBEMARLE,-78.443916,38.029881,75459,convenience
Family Dollar Store 3402,50 Main St,NA,Lovingston,VA,22949,NA,NELSON,-78.872604,37.759979,76298,convenience
Dollar General 1959,8263 Spotswood Trl,NA,Stanardsville,VA,22973,2848,GREENE,-78.443634,38.297272,78326,convenience
Dollar General 0436,406 E Main St,NA,Louisa,VA,23093,6518,LOUISA,-77.994659,38.020264,78334,convenience
Stop In Food Stores 67,1220 Seminole Trl,NA,Charlottesville,VA,22901,1722,ALBEMARLE,-78.484818,38.069832,83618,convenience
Fas Mart 3560,3470 Seminole Trl,NA,Charlottesville,VA,22911,8221,ALBEMARLE,-78.436668,38.131245,84533,convenience
Asian Market,1417 Emmet St N,NA,Charlottesville,VA,22903,4874,CHARLOTTESVILLE,-78.496544,38.056114,88072,small_grocery
Fas Mart 3520,2404 Fontaine Ave,NA,Charlottesville,VA,22903,2915,CHARLOTTESVILLE,-78.519524,38.025974,90832,convenience
West Park Market,490 Four Seasons Dr,NA,Charlottesville,VA,22901,1377,ALBEMARLE,-78.486786,38.083405,93167,small_grocery
Columbia Corner Market,538 Saint James St,NA,Columbia,VA,23038,2891,FLUVANNA,-78.16037,37.751766,100578,small_grocery
Crossroad Express Market,2416 Piedmont Rd,NA,Gladstone,VA,24553,3019,NELSON,-78.896263,37.571625,101446,small_grocery
CVS Pharmacy 1556,1170 Emmet St N,NA,Charlottesville,VA,22903,4836,CHARLOTTESVILLE,-78.499001,38.052223,102594,convenience
CVS 7561,503 East Main St,NA,Louisa,VA,23093,NA,LOUISA,-77.991714,38.019817,102600,convenience
CVS Pharmacy 1555,1133 5th St SW,NA,Charlottesville,VA,22902,6464,CHARLOTTESVILLE,-78.501534,38.013302,102811,convenience
Fas Mart 3532,44 Callohill Dr,NA,Lovingston,VA,22949,9701,NELSON,-78.876991,37.753338,104051,convenience
ALDI 80041,100 Albermarle Square,NA,Charlottesville,VA,22901,NA,ALBEMARLE,-78.471802,38.080936,104101,large_grocery
KROGER  359,1159 Emmet St N,NA,Charlottesville,VA,22903,4837,CHARLOTTESVILLE,-78.49987,38.052189,107223,large_grocery
Dollar Tree 3118,420 Pantops Ctr,NA,Charlottesville,VA,22911,8693,ALBEMARLE,-78.457832,38.031078,108563,convenience
Hilltop Grocery,2808 Hydraulic Rd,NA,Charlottesville,VA,22901,2917,ALBEMARLE,-78.497513,38.076183,108731,small_grocery
Medina Market,620 Albemarle Sq,NA,Charlottesville,VA,22901,7406,ALBEMARLE,-78.471581,38.083836,112238,small_grocery
Walgreens 10923,412 E Main St,NA,Louisa,VA,23093,6518,LOUISA,-77.995384,38.020374,112604,convenience
CVS 10746,1700 Seminole Trl,NA,Charlottesville,VA,22901,NA,ALBEMARLE,-78.473518,38.082645,112833,convenience
Sam's Club 6365,970 Hilton Heights Rd,NA,Charlottesville,VA,22901,8393,ALBEMARLE,-78.466454,38.098564,115455,small_grocery
Food Lion 2697,198 Scottsville Ctr,NA,Scottsville,VA,24590,3992,ALBEMARLE,-78.50267,37.808575,117694,large_grocery
Colleen Exxon & Convenience,4071 Thomas Nelson Hwy,NA,Arrington,VA,22922,2302,NELSON,-78.93383,37.708042,118172,convenience
Family Dollar Store 2955,2788 James Madison Hwy,Hwy 15S,Bremo Bluff,VA,23022,NA,FLUVANNA,-78.287582,37.748253,118221,convenience
Family Dollar Store 179,502 E Main St,Ste 7,Louisa,VA,23093,4100,LOUISA,-77.990097,38.019413,118644,convenience
Fas Mart 3535,1800 Monticello Rd,NA,Charlottesville,VA,22902,6256,CHARLOTTESVILLE,-78.473808,38.013756,118814,convenience
Sheetz 238,7020 Seminole Trl,NA,Ruckersville,VA,22968,3449,GREENE,-78.385567,38.208405,120352,convenience
Food Lion 940,136 Cedar Grove Rd,NA,Ruckersville,VA,22968,3603,GREENE,-78.387741,38.208321,120650,large_grocery
The Market At Ruckersville,8899 Seminole Trl,NA,Ruckersville,VA,22968,3448,GREENE,-78.370453,38.232788,120717,convenience
Food Lion 484,501 East Main St,NA,Louisa,VA,23093,4133,LOUISA,-77.992729,38.019989,120816,large_grocery
Harris Teeter 177,975 Emmet St,Space 8,Charlottesville,VA,22903,NA,CHARLOTTESVILLE,-78.504387,38.050282,121939,large_grocery
Walgreens 09417,3489 Seminole Trl,NA,Charlottesville,VA,22911,5637,ALBEMARLE,-78.435829,38.131599,122999,convenience
Harris Teeter 332,545 Radford Ln,NA,Charlottesville,VA,22903,NA,CHARLOTTESVILLE,-78.682686,38.051456,128195,large_grocery
Walgreens 17626,314 Rolkin Rd,NA,Charlottesville,VA,22911,3556,ALBEMARLE,-78.442764,38.030846,129925,convenience
Family Dollar Store 1135,1135 5th St SW,NA,Charlottesville,VA,22902,6464,CHARLOTTESVILLE,-78.501656,38.013187,130241,convenience
Dollar General 11300,172 Davis Hwy,NA,Mineral,VA,23117,4152,LOUISA,-77.910728,38.014938,131429,convenience
7-Eleven 36085A,1245 Seminole Trl,NA,Charlottesville,VA,22901,1869,ALBEMARLE,-78.483932,38.070389,131519,convenience
Fas Mart 3540,13626 James Madison Hwy,NA,Palmyra,VA,22963,4499,FLUVANNA,-78.263527,37.861977,131721,convenience
Dollar General 11421,4091 James Madison Hwy,NA,Fork Union,VA,23055,2309,FLUVANNA,-78.27002,37.755444,131839,convenience
Target Stores 1858,3290 Seminole Trl,NA,Charlottesville,VA,22911,5634,ALBEMARLE,-78.440323,38.127975,134070,large_grocery
Market Street Market,400 E Market St,NA,Charlottesville,VA,22902,5214,CHARLOTTESVILLE,-78.478851,38.030781,134401,small_grocery
7-Eleven Inc F 16728,2218 Barracks Rd,NA,Charlottesville,VA,22903,4812,CHARLOTTESVILLE,-78.502159,38.055973,135572,convenience
Fas Mart 3542,241 Rolkin Rd,NA,Charlottesville,VA,22911,3536,ALBEMARLE,-78.443787,38.02993,137515,convenience
"THOMAS INC, E W",13027 James Madison Hwy,NA,PALMYRA,VA,22963,0101,FLUVANNA,-78.269005,37.855503,139530,small_grocery
Nx Gen Retail Inc,13338 S Constitution Rte,NA,Scottsville,VA,24590,6280,ALBEMARLE,-78.503624,37.718254,139875,small_grocery
Blue Ridge Grocery,2797 Rockfish Valley Hwy,NA,Nellysford,VA,22958,2309,NELSON,-78.874146,37.889702,139962,small_grocery
Dollar Tree 7294,335 Merchant Walk Sq,Bldg 800,Charlottesville,VA,22902,6508,CHARLOTTESVILLE,-78.500084,38.010544,142207,convenience
Kidds Store LLC,8469 W River Rd,NA,Scottsville,VA,24590,4688,ALBEMARLE,-78.360062,37.804169,144582,small_grocery
Costco Wholesale 1184,3171 District Ave,NA,Charlottesville,VA,22901,2784,ALBEMARLE,-78.490982,38.068451,144849,large_grocery
Caul's Grocery,4530 Monacan Trail Rd,NA,North Garden,VA,22959,2215,ALBEMARLE,-78.681305,37.921993,146876,small_grocery
La Guadalupana,221 Carlton Rd,Ste 15,Charlottesville,VA,22902,5983,CHARLOTTESVILLE,-78.46936,38.023621,147274,small_grocery
Quick Mart,1207 Grady Ave,NA,Charlottesville,VA,22903,2222,CHARLOTTESVILLE,-78.494614,38.039597,148972,convenience
Food Lion 1536,32 Mill Creek Dr,NA,Charlottesville,VA,22902,8718,CHARLOTTESVILLE,-78.49675,38.000114,152932,large_grocery
MERCADO WORLD FOODS,900 Gardens Blvd,Ste 300,Charlottesville,VA,22901,1469,ALBEMARLE,-78.470573,38.083839,156701,small_grocery
Afghan Grand Market,323 W Main St,NA,Charlottesville,VA,22903,5537,CHARLOTTESVILLE,-78.486061,38.03056,156955,small_grocery
Mineral Farmer's Market,81 Louisa Ave,NA,Mineral,VA,23117,4048,LOUISA,-77.907379,38.012699,157099,small_grocery
C'ville Oriental,1195 Seminole Trl,NA,Charlottesville,VA,22901,2828,ALBEMARLE,-78.4851,38.069069,157134,small_grocery
Family Dollar 3224,26 Clore Dr,NA,Ruckersville,VA,22968,3701,GREENE,-78.376656,38.222492,159060,convenience
CVS Pharmacy 1551,1341 Long St,NA,Charlottesville,VA,22901,4935,ALBEMARLE,-78.459389,38.035,159509,convenience
Dollar General 17910,17475 Louisa Rd,NA,Louisa,VA,23093,4439,LOUISA,-78.075623,38.051258,160131,convenience
CVS Pharmacy 67,208 E Main St,NA,Charlottesville,VA,22902,5232,CHARLOTTESVILLE,-78.480492,38.030453,161434,convenience
CVS Pharmacy 947,28 Abby Rd,NA,Palmyra,VA,22963,2085,FLUVANNA,-78.31221,37.899475,162170,convenience
Dollar General 14639,1500 New Bridge Rd,NA,Mineral,VA,23117,4955,LOUISA,-77.853081,38.082699,162881,convenience
Walmart Supercenter 4638,135 Stoneridge Dr,NA,Ruckersville,VA,22968,3088,GREENE,-78.370476,38.23597,163828,large_grocery
CVS Pharmacy 1554,3420 Seminole Trl,NA,Charlottesville,VA,22911,8221,ALBEMARLE,-78.438042,38.129993,164688,convenience
Indian Bazar,722 Rio Rd W,Ste 1,Charlottesville,VA,22901,1454,ALBEMARLE,-78.475006,38.083244,165922,small_grocery
CVS Pharmacy 4656,1417 University Ave,NA,Charlottesville,VA,22903,2606,CHARLOTTESVILLE,-78.500206,38.034462,165933,convenience
Seven Day Jr,111 Maury Ave,NA,Charlottesville,VA,22903,3009,CHARLOTTESVILLE,-78.515678,38.026436,166177,small_grocery
7-Eleven Inc F 16764F,2025 Ivy Rd,NA,Charlottesville,VA,22903,1713,CHARLOTTESVILLE,-78.510506,38.042027,166991,convenience
Sheetz 637,1519 University Ave,NA,Charlottesville,VA,22903,2636,CHARLOTTESVILLE,-78.500748,38.035206,167344,convenience
Fas Mart 3510,1159 Millmont St,NA,Charlottesville,VA,22903,4868,CHARLOTTESVILLE,-78.500786,38.054134,170717,convenience
Dollar General 17675,2985 Rockfish Valley Hwy,NA,Nellysford,VA,22958,2311,NELSON,-78.872101,37.891056,171905,convenience
Sunshine Minimart,827 Cherry Ave,NA,Charlottesville,VA,22903,3448,CHARLOTTESVILLE,-78.494324,38.028797,172281,convenience
Anae Shop,506 Stewart St,NA,Charlottesville,VA,22902,5440,CHARLOTTESVILLE,-78.464607,38.031456,174320,small_grocery
Dollar General 22386,8080 Kentucky Springs Rd,NA,Mineral,VA,23117,4528,LOUISA,-77.817551,38.04845,175131,convenience
WAWA 8659,3267 Proffit Rd.,NA,Charlottesville,VA,22911,NA,ALBEMARLE,-78.434143,38.132206,175400,convenience
Dollar General 12452,19 Market St,NA,Palmyra,VA,22963,5448,FLUVANNA,-78.311638,37.899879,177427,convenience
Pic N Pac,12805 Spotswood Trail,NA,Ruckersville,VA,22968,3376,GREENE,-78.397903,38.249813,178430,convenience
WAWA 8667,820 Pantops Corner Way,NA,Charlottesville,VA,22911,NA,ALBEMARLE,-78.429619,38.032417,178528,convenience
7-Eleven 11136K,1849 Seminole Trl,NA,Charlottesville,VA,22901,1129,ALBEMARLE,-78.470497,38.087341,182138,convenience
DOLLARTREE 8745,502 East Main St,NA,Louisa,VA,23093,4100,LOUISA,-77.990417,38.019051,182841,convenience
GIANT FOOD 251,1900 Abbey Rd,NA,Charlottesville,VA,22911,3543,ALBEMARLE,-78.445396,38.030239,184639,large_grocery
Fas Mart 3525,101 Crofton Pl,NA,Palmyra,VA,22963,3300,FLUVANNA,-78.316605,37.924713,185832,convenience
Walmart Supercenter 1780,975 Hilltop Heights Rd,NA,Charlottesville,VA,22901,NA,ALBEMARLE,-78.493713,38.07021,186646,large_grocery
Family Dollar Store 10843,535 Mineral Ave,NA,Mineral,VA,23117,9997,LOUISA,-77.908852,38.006477,188565,convenience
7-eleven 39801A,1915 Boulderview Road,NA,Charlottesville,VA,22911,NA,ALBEMARLE,-78.447411,38.031101,188812,convenience
Big Lots 5401,590 Branchlands Blvd,NA,Charlottesville,VA,22901,1791,ALBEMARLE,-78.479469,38.073273,192736,convenience
Dollar General 1747,88 Main St,NA,Lovingston,VA,22949,NA,NELSON,-78.871994,37.759815,196673,convenience
Dollar General 462,969 Valley St,NA,Scottsville,VA,24590,8002,ALBEMARLE,-78.49942,37.805943,196773,convenience
Market Central,522 2nd St SE,NA,Charlottesville,VA,22902,5574,CHARLOTTESVILLE,-78.482216,38.026115,196821,small_grocery
BELMONT MARKET,834 Monticello Rd,NA,Charlottesville,VA,22902,5762,CHARLOTTESVILLE,-78.473808,38.023712,200156,small_grocery
Food Master,308 Ridge St,NA,Charlottesville,VA,22902,5554,CHARLOTTESVILLE,-78.485992,38.028606,206183,small_grocery
33 Quik Mart,12940 Jefferson Hwy,NA,Bumpass,VA,23024,3411,LOUISA,-77.83107,37.883816,210215,convenience
Kroger 334,1980 Rio Hill Ctr,NA,Charlottesville,VA,22901,1144,ALBEMARLE,-78.473373,38.089115,210557,large_grocery
Barracks Road Market,2613 Barracks Rd,NA,Charlottesville,VA,22901,2120,ALBEMARLE,-78.513245,38.062737,212016,small_grocery
In & Out Market,2724 Irish Rd,NA,Esmont,VA,22937,1954,ALBEMARLE,-78.600746,37.825447,214635,small_grocery
B And R Market,800 Avon St,NA,Charlottesville,VA,22902,6114,CHARLOTTESVILLE,-78.479774,38.023434,217261,small_grocery
Charlottesville Latino Market,380 Greenbrier Dr,Ste D,Charlottesville,VA,22901,1655,ALBEMARLE,-78.485283,38.070778,222059,small_grocery
Lidl 1500,750 Twentyninght Place Court,NA,Charlottesville,VA,22901,NA,ALBEMARLE,-78.479065,38.078098,223124,large_grocery
D'amores Market,4814 Broad Street Rd,NA,Louisa,VA,23093,2204,LOUISA,-77.998222,37.844482,225704,small_grocery
Sheetz 588,216 East Main St,NA,Louisa,VA,23093,6502,LOUISA,-77.999748,38.021976,226379,convenience
Crozet Great Valu,5728 Three Notched Rd,NA,Crozet,VA,22932,3107,ALBEMARLE,-78.698532,38.069263,226661,large_grocery
Stop In Food Stores 64,1129 Richmond Rd,NA,Charlottesville,VA,22911,3514,ALBEMARLE,-78.457619,38.034035,227424,convenience
Wegmans 127,100 Wegmans Way,NA,Charlottesville,VA,22902,6507,CHARLOTTESVILLE,-78.501923,38.009186,229754,large_grocery
Express Grocery Stores. ,198 Zan Rd,NA,Charlottesville,VA,22901,2857,ALBEMARLE,-78.488266,38.063454,237427,small_grocery
Prospect Market And Deli,832 Cherry Ave,NA,Charlottesville,VA,22903,3457,CHARLOTTESVILLE,-78.494858,38.028549,237739,small_grocery
Beaver Dam Market,1505 Richmond Rd,NA,Troy,VA,22974,3734,FLUVANNA,-78.297226,37.984653,239674,small_grocery
Spotted Pig Holler U Pick,75 Green Lane Dr,NA,Kents Store,VA,23084,2240,FLUVANNA,-78.071808,37.909122000000004,240195,small_grocery
Super Amanecer,1417 Emmet St N,Ste D,Charlottesville,VA,22903,4877,CHARLOTTESVILLE,-78.496399,38.056259,241192,small_grocery
Cherry Ave Marketplace,701 Cherry Ave,NA,Charlottesville,VA,22903,5516,CHARLOTTESVILLE,-78.491608,38.02803,243855,small_grocery
Sunny Mountain 1,10761 Thomas Nelson Hwy,NA,Lovingston,VA,22949,2312,NELSON,-78.86853,37.781204,244104,small_grocery
Oakhill Market And Deli,675 Country Green Rd,NA,Charlottesville,VA,22902,6482,CHARLOTTESVILLE,-78.522522,38.005371,245862,small_grocery
7-eleven 16728g 16728G,2155 Barracks Rd,NA,Charlottesville,VA,22903,4812,CHARLOTTESVILLE,-78.501846,38.056274,247504,convenience
