,file,min,max,mean,count,median,nodata,masked_count,spatial_unit,GEOID,basename,full_path,prop_nodata,entity_id,start_date,end_date,start_year,end_year,cloud_cover,area,shp_percent,spatial_bounds,spatial_coverage
40,LC08_L2SP_014034_20200722_20200911_02_T1,-154.16778053199994,91.80661074800008,55.472257121467166,82890,71.34360861200004,0.0,132851,blkgps,510010902003,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
41,LC08_L2SP_014034_20200722_20200911_02_T1,80.57841504799997,92.45261652800005,85.76835428217083,1780,85.64494609400009,1.0,3800,blkgps,510010901003,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0005614823133071309,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
42,LC08_L2SP_014034_20200722_20200911_02_T1,77.12689845200006,95.84876120000004,84.06895875055645,5586,84.02377920800002,0.0,7724,blkgps,510010901001,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
43,LC08_L2SP_014034_20200722_20200911_02_T1,,,,0,,,4,blkgps,510019902000,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
44,LC08_L2SP_014034_20200722_20200911_02_T1,72.64177260800005,95.66418812000003,84.78717945262446,3248,84.80513858000003,0.0,8434,blkgps,510010901004,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
45,LC08_L2SP_014034_20200722_20200911_02_T1,49.674729020000086,97.694492,73.69444293374687,44184,74.47519853600002,0.0,54570,blkgps,510010904001,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
46,LC08_L2SP_014034_20200722_20200911_02_T1,63.92992323200008,106.89238382000005,81.91680833320592,50622,81.61817673200002,3.0,58081,blkgps,510010908001,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,5.925925925925926e-05,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
47,LC08_L2SP_014034_20200722_20200911_02_T1,5.531000720000087,87.62295426800003,73.08599595388625,31631,77.04691678400008,0.0,27382,blkgps,510010905001,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
48,LC08_L2SP_014034_20200722_20200911_02_T1,-29.568646659999978,84.40523024000011,50.130599603557954,48703,53.87684280800006,0.0,49009,blkgps,510010903003,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
49,LC08_L2SP_014034_20200722_20200911_02_T1,42.86398236799998,95.98411479200007,79.98509583771596,84716,80.46767120000004,0.0,62736,blkgps,510010906002,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
50,LC08_L2SP_014034_20200722_20200911_02_T1,-67.60915844799997,98.08209546800002,82.30934793429267,53342,82.301097128,0.0,68770,blkgps,510010902001,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
51,LC08_L2SP_014034_20200722_20200911_02_T1,75.61339919600002,116.85933014000001,85.23882462978872,2281,82.86712124000007,1.0,1373015,blkgps,511319901000,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.00043821209465381246,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
52,LC08_L2SP_014034_20200722_20200911_02_T1,77.92671513200003,118.66814632399999,96.76328150805234,45341,96.10716351199999,0.0,48469,blkgps,511319302002,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
53,LC08_L2SP_014034_20200722_20200911_02_T1,81.37207929199997,110.30083336400001,92.64637131460184,44950,91.24673907200004,0.0,39637,blkgps,511319302001,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
54,LC08_L2SP_014034_20200722_20200911_02_T1,79.47712900400003,104.03150108000001,88.70885580415268,39602,87.47529580400001,0.0,49102,blkgps,511319301001,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
55,LC08_L2SP_014034_20200722_20200911_02_T1,80.20926888799997,120.45850520000003,95.0372595049345,89886,94.09531693999998,0.0,252418,blkgps,511319303004,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
56,LC08_L2SP_014034_20200722_20200911_02_T1,83.1870479120001,108.90423039200006,91.00618568817245,7888,89.75169712400003,0.0,8590,blkgps,511319301003,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
57,LC08_L2SP_014034_20200722_20200911_02_T1,86.53397309600001,116.42865962000006,100.24670258395379,15042,100.07856095000002,0.0,7002,blkgps,511319303002,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
58,LC08_L2SP_014034_20200722_20200911_02_T1,86.50936335200001,120.69845020400004,98.96941808796616,23043,98.19899175200001,0.0,15552,blkgps,511319303001,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
59,LC08_L2SP_014034_20200722_20200911_02_T1,76.4685878000001,123.430131788,94.32652545643492,95168,90.21312982400002,0.0,569832,blkgps,511319303003,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
60,LC08_L2SP_014034_20200722_20200911_02_T1,87.01386310400002,121.16603534000008,98.47285244590955,37213,98.11285764800006,0.0,30883,blkgps,511319302003,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
61,LC08_L2SP_014034_20200722_20200911_02_T1,76.45013049200006,119.91093839599999,95.62660624010826,85178,93.83691462800002,0.0,188862,blkgps,511319302004,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
62,LC08_L2SP_014034_20200722_20200911_02_T1,77.51450192,107.80294434800003,90.84213808204879,38412,90.26850174800003,0.0,36926,blkgps,511319301002,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
63,LC08_L2SP_014034_20200722_20200911_02_T1,67.95976881200005,111.62975953999997,87.77443616567882,65183,87.31533246800001,1.0,322321,blkgps,511319301004,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,1.5341188021600392e-05,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
