FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202009,8,0,41854,921694,"D","09/08/2020 00:00:00",61,"M","Outside/Open Areas",202009
202004,13,0,41928,889068,"D","04/13/2020 00:00:00",56,"M","Mobile/Trailer Home",202004
202004,13,0,41929,889068,"D","04/13/2020 00:00:00",56,"F","Mobile/Trailer Home",202004
202004,13,0,41930,889068,"D","04/13/2020 00:00:00",26,"F","Mobile/Trailer Home",202004
202004,13,0,41931,889068,"D","04/13/2020 00:00:00",41,"M","Mobile/Trailer Home",202004
202004,13,0,41932,889068,"D","04/13/2020 00:00:00",25,"M","Mobile/Trailer Home",202004
202004,13,0,41933,888955,"D","04/13/2020 00:00:00",46,"F","Permanent Home",202004
202009,10,0,41938,924716,"D","09/10/2020 00:00:00",58,"M","Under Tree",202009
202009,7,0,41939,922952,"D","09/07/2020 00:00:00",,"","Other",202009
202009,7,0,41940,922952,"D","09/07/2020 00:00:00",,"","Other",202009
202009,7,0,41941,922952,"D","09/07/2020 00:00:00",,"","Other",202009
202009,8,0,41942,922952,"D","09/08/2020 00:00:00",,"","Other",202009
202009,8,0,41943,922952,"D","09/08/2020 00:00:00",,"","Other",202009
202004,12,0,41944,902831,"D","04/12/2020 00:00:00",44,"F","Business",202004
202004,12,0,41945,902831,"D","04/12/2020 00:00:00",64,"F","Business",202004
202004,12,0,41946,902831,"D","04/12/2020 00:00:00",61,"M","Business",202004
202004,12,0,41947,902831,"D","04/12/2020 00:00:00",46,"M","Business",202004
202008,31,0,41968,919227,"D","08/31/2020 00:00:00",49,"M","Vehicle/Towed Trailer",202008
202004,12,0,41997,887908,"D","04/12/2020 00:00:00",,"","Unknown",202004
202004,12,0,41998,887908,"D","04/12/2020 00:00:00",,"","Unknown",202004
202009,9,0,42016,920521,"D","09/09/2020 00:00:00",71,"M","Vehicle/Towed Trailer",202009
202009,9,0,42017,920521,"D","09/09/2020 00:00:00",62,"M","Vehicle/Towed Trailer",202009
202008,4,0,42019,928259,"D","08/04/2020 00:00:00",5,"F","Outside/Open Areas",202008
202008,4,0,42020,928258,"D","08/04/2020 00:00:00",44,"F","Unknown",202008
202006,9,0,42039,883908,"D","06/09/2020 00:00:00",35,"M","Other",202005
202011,15,0,42121,929692,"D","11/15/2020 00:00:00",63,"F","Outside/Open Areas",202011
202011,28,0,42149,929974,"D","11/28/2020 00:00:00",7,"M","In Water",202011
202011,12,0,42178,930588,"D","11/12/2020 00:00:00",49,"F","Camping",202011
202011,12,0,42179,930588,"D","11/12/2020 00:00:00",18,"M","Camping",202011
202011,12,0,42180,930588,"D","11/12/2020 00:00:00",52,"F","Camping",202011
202011,12,0,42181,930588,"D","11/12/2020 00:00:00",76,"M","Camping",202011
202011,12,0,42182,930588,"D","11/12/2020 00:00:00",1,"M","Camping",202011
202011,12,0,42177,930828,"D","11/12/2020 00:00:00",64,"M","Vehicle/Towed Trailer",202011
202011,12,0,42176,930882,"I","11/12/2020 00:00:00",23,"M","Vehicle/Towed Trailer",202011
202011,14,0,42199,930946,"I","11/14/2020 00:00:00",61,"M","Unknown",202011
202011,14,0,42200,930946,"I","11/14/2020 00:00:00",18,"M","Unknown",202011
202011,14,0,42201,930946,"I","11/14/2020 00:00:00",20,"F","Unknown",202011
202011,14,0,42202,930946,"I","11/14/2020 00:00:00",19,"F","Unknown",202011
202011,14,0,42203,930946,"I","11/14/2020 00:00:00",19,"M","Unknown",202011
202011,17,0,42349,932473,"D","11/17/2020 00:00:00",,"","Unknown",202011
202002,7,0,40773,877756,"I","02/07/2020 00:00:00",43,"F","Vehicle/Towed Trailer",202002
202006,25,0,41074,889692,"D","06/25/2020 00:00:00",27,"M","Outside/Open Areas",202006
202005,30,0,41191,897699,"D","05/30/2020 00:00:00",,"M","Under Tree",202005
202007,7,0,41270,907203,"D","07/07/2020 00:00:00",4,"M","Vehicle/Towed Trailer",202007
202008,10,0,41424,915588,"D","08/10/2020 00:00:00",51,"F","Outside/Open Areas",202008
202008,27,0,41431,915780,"D","08/27/2020 00:00:00",73,"M","Vehicle/Towed Trailer",202008
202008,18,0,41479,917898,"D","08/18/2020 00:00:00",23,"M","In Water",202008
202008,26,0,41491,918104,"D","08/26/2020 00:00:00",24,"M","Other",202008
202008,23,0,41551,917811,"D","08/23/2020 00:00:00",18,"F","In Water",202008
202008,4,0,41691,917888,"D","08/04/2020 00:00:00",,"M","Under Tree",202008
202008,10,0,41719,919724,"D","08/10/2020 00:00:00",74,"M","Mobile/Trailer Home",202008
202007,9,0,41741,912087,"D","07/09/2020 00:00:00",16,"M","Under Tree",202007
202008,16,0,41756,921017,"I","08/16/2020 00:00:00",,"F","In Water",202008
202008,17,0,41757,921018,"I","08/17/2020 00:00:00",,"M","In Water",202008
202004,13,0,41758,884164,"D","04/13/2020 00:00:00",63,"M","Mobile/Trailer Home",202004
202004,13,0,41759,884164,"D","04/13/2020 00:00:00",68,"F","Mobile/Trailer Home",202004
202005,24,0,41800,921886,"D","05/24/2020 00:00:00",36,"F","In Water",202005
202007,30,0,41805,897946,"D","07/30/2020 00:00:00",44,"M","In Water",202007
202007,30,0,41806,897946,"D","07/30/2020 00:00:00",24,"M","In Water",202007
202007,30,0,41807,897946,"D","07/30/2020 00:00:00",13,"F","In Water",202007
202008,31,0,41808,922256,"D","08/31/2020 00:00:00",4,"M","In Water",202008
202008,31,0,41809,922256,"D","08/31/2020 00:00:00",5,"F","In Water",202008
202008,4,0,41903,923901,"D","08/04/2020 00:00:00",60,"M","Under Tree",202008
202008,4,0,41904,923902,"D","08/04/2020 00:00:00",60,"M","Under Tree",202008
202008,4,0,41905,923903,"D","08/04/2020 00:00:00",60,"M","Under Tree",202008
202008,4,0,41906,923904,"D","08/04/2020 00:00:00",60,"M","Under Tree",202008
202008,4,0,41907,923905,"D","08/04/2020 00:00:00",60,"M","Under Tree",202008
202008,4,0,41908,923906,"D","08/04/2020 00:00:00",60,"M","Under Tree",202008
202008,4,0,41915,917890,"D","08/04/2020 00:00:00",60,"M","Under Tree",202008
202001,3,0,40684,863829,"D","01/03/2020 00:00:00",63,"F","Permanent Home",202001
202001,7,0,40095,863926,"I","01/07/2020 00:00:00",,"M","Vehicle/Towed Trailer",202001
202001,17,0,40242,865048,"I","01/17/2020 00:00:00",,"M","Vehicle/Towed Trailer",202001
202001,23,0,40294,865786,"I","01/23/2020 00:00:00",,"M","Vehicle/Towed Trailer",202001
202001,11,0,40288,865838,"I","01/11/2020 00:00:00",39,"M","Outside/Open Areas",202001
202001,11,0,40289,865838,"I","01/11/2020 00:00:00",27,"M","Outside/Open Areas",202001
202001,18,0,40384,866243,"D","01/18/2020 00:00:00",44,"F","Outside/Open Areas",202001
202001,10,0,40675,866540,"D","01/10/2020 00:00:00",44,"M","Mobile/Trailer Home",202001
202001,11,0,40439,866671,"D","01/11/2020 00:00:00",75,"M","Permanent Home",202001
202001,1,0,40600,866919,"D","01/01/2020 00:00:00",26,"M","Outside/Open Areas",202001
202001,1,0,40601,866919,"D","01/01/2020 00:00:00",24,"M","Outside/Open Areas",202001
202001,11,0,40452,866960,"D","01/11/2020 00:00:00",79,"M","Mobile/Trailer Home",202001
202001,11,0,40453,866960,"D","01/11/2020 00:00:00",65,"F","Mobile/Trailer Home",202001
202001,11,0,40454,866960,"D","01/11/2020 00:00:00",87,"M","Mobile/Trailer Home",202001
202001,30,0,40515,867068,"D","01/30/2020 00:00:00",28,"F","Vehicle/Towed Trailer",202001
202001,30,0,40516,867068,"D","01/30/2020 00:00:00",59,"M","Vehicle/Towed Trailer",202001
202001,10,0,40455,867124,"D","01/10/2020 00:00:00",58,"M","Vehicle/Towed Trailer",202001
202001,11,0,40456,867163,"D","01/11/2020 00:00:00",14,"M","Vehicle/Towed Trailer",202001
202001,24,0,40530,868181,"I","01/24/2020 00:00:00",62,"M","Vehicle/Towed Trailer",202001
202001,24,0,40531,868181,"I","01/24/2020 00:00:00",16,"M","Vehicle/Towed Trailer",202001
202001,18,0,40654,869337,"D","01/18/2020 00:00:00",18,"M","Outside/Open Areas",202001
202001,7,0,40641,870754,"D","01/07/2020 00:00:00",58,"M","Outside/Open Areas",202001
202001,7,0,40642,870754,"D","01/07/2020 00:00:00",46,"M","Outside/Open Areas",202001
202001,7,0,40643,870754,"D","01/07/2020 00:00:00",33,"F","Outside/Open Areas",202001
202001,16,0,40708,870889,"I","01/16/2020 00:00:00",18,"F","Outside/Open Areas",202001
202001,23,0,40661,871138,"D","01/23/2020 00:00:00",46,"F","Outside/Open Areas",202001
202001,11,0,40709,871694,"D","01/11/2020 00:00:00",,"","Vehicle/Towed Trailer",202001
202001,20,0,40676,872110,"D","01/20/2020 00:00:00",80,"F","Permanent Home",202001
202001,4,0,40712,872351,"I","01/04/2020 00:00:00",60,"M","Vehicle/Towed Trailer",202001
202001,10,0,40680,872628,"D","01/10/2020 00:00:00",53,"F","Vehicle/Towed Trailer",202001
202001,13,0,40697,873666,"D","01/13/2020 00:00:00",,"","School",202001
202001,13,0,40698,873666,"D","01/13/2020 00:00:00",,"","School",202001
202001,13,0,40699,873666,"D","01/13/2020 00:00:00",,"","School",202001
202001,15,0,40702,873776,"D","01/15/2020 00:00:00",50,"M","Vehicle/Towed Trailer",202001
202001,14,0,40713,873932,"I","01/14/2020 00:00:00",,"M","Vehicle/Towed Trailer",202001
202001,14,0,40714,873932,"I","01/14/2020 00:00:00",,"F","Vehicle/Towed Trailer",202001
202009,8,0,41434,909610,"D","09/08/2020 00:00:00",55,"M","Mobile/Trailer Home",202009
202009,28,0,41682,920098,"D","09/28/2020 00:00:00",43,"M","In Water",202009
202009,28,0,41683,920098,"D","09/28/2020 00:00:00",,"M","In Water",202009
202009,7,0,41727,920824,"D","09/07/2020 00:00:00",1,"M","Outside/Open Areas",202009
202009,2,0,41742,920964,"I","09/02/2020 00:00:00",92,"M","Permanent Home",202009
202009,2,0,41743,920964,"I","09/02/2020 00:00:00",91,"F","Permanent Home",202009
202009,13,0,41744,921014,"D","09/13/2020 00:00:00",,"M","Vehicle/Towed Trailer",202009
202009,13,0,41745,921016,"D","09/13/2020 00:00:00",,"M","Vehicle/Towed Trailer",202009
202009,16,0,41773,921112,"D","09/16/2020 00:00:00",,"M","In Water",202009
202009,16,0,41782,921131,"D","09/16/2020 00:00:00",45,"F","Vehicle/Towed Trailer",202009
202009,16,0,41783,921131,"D","09/16/2020 00:00:00",27,"M","Boating",202009
202009,10,0,41784,921287,"D","09/10/2020 00:00:00",20,"M","In Water",202009
202009,13,0,41785,921360,"D","09/13/2020 00:00:00",6,"M","In Water",202009
202009,16,0,41790,921108,"I","09/16/2020 00:00:00",39,"M","Under Tree",202009
202009,16,0,41791,921108,"I","09/16/2020 00:00:00",,"","Permanent Home",202009
202009,28,0,41801,921883,"D","09/28/2020 00:00:00",,"","Unknown",202009
202009,11,0,41804,922114,"D","09/11/2020 00:00:00",22,"F","In Water",202009
202009,8,0,41827,922725,"D","09/08/2020 00:00:00",75,"F","Unknown",202009
202009,8,0,41828,922725,"D","09/08/2020 00:00:00",79,"M","Unknown",202009
202009,8,0,41829,922725,"D","09/08/2020 00:00:00",26,"M","Unknown",202009
202009,8,0,41830,922725,"D","09/08/2020 00:00:00",68,"M","Unknown",202009
202009,8,0,41831,922725,"D","09/08/2020 00:00:00",58,"","Unknown",202009
202009,8,0,41832,922725,"D","09/08/2020 00:00:00",77,"","Unknown",202009
202009,8,0,41833,922725,"D","09/08/2020 00:00:00",16,"M","Unknown",202009
202009,8,0,41834,922725,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,8,0,41835,922725,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,8,0,41836,922725,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,8,0,41837,922725,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,8,0,41838,922725,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,8,0,41839,922725,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,8,0,41840,922725,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,8,0,41841,922725,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,8,0,41842,922725,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,28,0,41887,923441,"D","09/28/2020 00:00:00",79,"F","Unknown",202009
202009,28,0,41888,923441,"D","09/28/2020 00:00:00",45,"F","Unknown",202009
202009,28,0,41889,923441,"D","09/28/2020 00:00:00",52,"M","Permanent Structure",202009
202009,28,0,41890,923441,"D","09/28/2020 00:00:00",8,"F","Unknown",202009
202003,20,0,40686,872994,"D","03/20/2020 00:00:00",48,"M","Vehicle/Towed Trailer",202003
202003,20,0,40687,872994,"D","03/20/2020 00:00:00",47,"M","Vehicle/Towed Trailer",202003
202003,20,0,40688,872994,"D","03/20/2020 00:00:00",35,"F","Vehicle/Towed Trailer",202003
202003,20,0,40689,872994,"D","03/20/2020 00:00:00",13,"M","Vehicle/Towed Trailer",202003
202003,20,0,40690,872994,"D","03/20/2020 00:00:00",7,"F","Vehicle/Towed Trailer",202003
202003,20,0,40691,872994,"D","03/20/2020 00:00:00",4,"F","Vehicle/Towed Trailer",202003
202003,3,0,40978,882999,"D","03/03/2020 00:00:00",36,"M","Outside/Open Areas",202003
202003,3,0,40979,882999,"D","03/03/2020 00:00:00",33,"F","Outside/Open Areas",202003
202003,3,0,40980,883007,"D","03/03/2020 00:00:00",84,"M","Permanent Home",202003
202003,3,0,40981,883007,"D","03/03/2020 00:00:00",81,"F","Permanent Home",202003
202003,3,0,40982,883007,"D","03/03/2020 00:00:00",38,"F","Permanent Structure",202003
202003,3,0,41126,883016,"D","03/03/2020 00:00:00",31,"F","Permanent Home",202003
202003,3,0,41127,883016,"D","03/03/2020 00:00:00",4,"F","Permanent Home",202003
202003,3,0,41128,883016,"D","03/03/2020 00:00:00",7,"M","Mobile/Trailer Home",202003
202003,3,0,41129,883016,"D","03/03/2020 00:00:00",54,"M","Mobile/Trailer Home",202003
202003,3,0,41130,883016,"D","03/03/2020 00:00:00",30,"F","Permanent Home",202003
202003,3,0,41131,883016,"D","03/03/2020 00:00:00",4,"M","Permanent Home",202003
202003,3,0,41132,883016,"D","03/03/2020 00:00:00",30,"M","Permanent Home",202003
202003,3,0,41133,883016,"D","03/03/2020 00:00:00",30,"F","Permanent Home",202003
202003,3,0,41134,883016,"D","03/03/2020 00:00:00",2,"M","Permanent Home",202003
202003,3,0,41135,883016,"D","03/03/2020 00:00:00",50,"M","Permanent Home",202003
202003,3,0,41136,883016,"D","03/03/2020 00:00:00",50,"F","Permanent Home",202003
202003,3,0,41137,883016,"D","03/03/2020 00:00:00",67,"F","Permanent Structure",202003
202003,3,0,41138,883016,"D","03/03/2020 00:00:00",28,"F","Permanent Structure",202003
202003,3,0,41139,883016,"D","03/03/2020 00:00:00",12,"F","Permanent Home",202003
202003,3,0,41140,883016,"D","03/03/2020 00:00:00",65,"M","Mobile/Trailer Home",202003
202003,3,0,41141,883016,"D","03/03/2020 00:00:00",63,"F","Mobile/Trailer Home",202003
202003,3,0,41142,883016,"D","03/03/2020 00:00:00",36,"F","Permanent Home",202003
202003,3,0,41143,883016,"D","03/03/2020 00:00:00",68,"M","Permanent Home",202003
202003,3,0,41144,883016,"D","03/03/2020 00:00:00",34,"F","Mobile/Trailer Home",202003
202001,7,0,41317,873349,"D","01/07/2020 00:00:00",41,"M","Outside/Open Areas",202001
202003,2,0,40848,880546,"D","03/02/2020 00:00:00",67,"M","Mobile/Trailer Home",202003
202006,9,0,41257,888897,"I","06/09/2020 00:00:00",29,"M","Vehicle/Towed Trailer",202006
202006,9,0,41258,888897,"I","06/09/2020 00:00:00",40,"M","Vehicle/Towed Trailer",202006
202004,12,0,41087,890156,"D","04/12/2020 00:00:00",40,"F","Mobile/Trailer Home",202004
202006,29,0,41416,891063,"D","06/29/2020 00:00:00",70,"M","In Water",202006
202006,28,0,41318,906030,"D","06/28/2020 00:00:00",19,"M","Outside/Open Areas",202006
202006,21,0,41262,906033,"D","06/21/2020 00:00:00",24,"M","Outside/Open Areas",202006
202007,2,0,41315,912085,"D","07/02/2020 00:00:00",61,"F","Unknown",202006
202006,29,0,41414,914808,"D","06/29/2020 00:00:00",85,"M","Vehicle/Towed Trailer",202006
202010,8,0,41522,917688,"D","10/08/2020 00:00:00",27,"M","Outside/Open Areas",202010
202010,24,0,41553,919145,"D","10/24/2020 00:00:00",27,"M","In Water",202010
202010,31,0,41661,919814,"D","10/31/2020 00:00:00",47,"M","In Water",202010
202010,18,0,41662,919903,"D","10/18/2020 00:00:00",42,"M","In Water",202010
202010,7,0,41700,917686,"I","10/07/2020 00:00:00",75,"M","Outside/Open Areas",202010
202010,22,0,41716,920239,"I","10/22/2020 00:00:00",66,"M","Vehicle/Towed Trailer",202010
202010,22,0,41717,920645,"I","10/22/2020 00:00:00",18,"F","Vehicle/Towed Trailer",202010
202010,26,0,41792,919878,"I","10/26/2020 00:00:00",,"M","Vehicle/Towed Trailer",202010
202010,26,0,41793,919879,"I","10/26/2020 00:00:00",59,"M","Other",202010
202010,18,0,41864,922639,"D","10/18/2020 00:00:00",,"M","In Water",202010
202010,7,0,41871,923338,"D","10/07/2020 00:00:00",71,"M","Golfing",202010
202010,13,0,41910,923916,"D","10/13/2020 00:00:00",71,"F","Vehicle/Towed Trailer",202010
202010,29,0,41912,924048,"D","10/29/2020 00:00:00",22,"M","Mobile/Trailer Home",202010
202010,28,0,41913,924129,"D","10/28/2020 00:00:00",23,"F","Permanent Home",202010
202010,28,0,41914,924129,"D","10/28/2020 00:00:00",24,"M","Permanent Home",202010
202010,26,0,41922,924377,"D","10/26/2020 00:00:00",84,"F","Outside/Open Areas",202010
202010,9,0,41935,924576,"D","10/09/2020 00:00:00",60,"M","In Water",202010
202010,27,0,41950,924794,"D","10/27/2020 00:00:00",61,"M","Outside/Open Areas",202010
202010,27,0,41951,924794,"D","10/27/2020 00:00:00",39,"M","Outside/Open Areas",202010
202010,5,0,41952,924937,"D","10/05/2020 00:00:00",1,"F","Vehicle/Towed Trailer",202010
202010,13,0,41953,924944,"D","10/13/2020 00:00:00",,"M","Outside/Open Areas",202010
202010,23,0,41967,925737,"D","10/23/2020 00:00:00",,"M","Outside/Open Areas",202010
202010,6,0,41969,925852,"D","10/06/2020 00:00:00",,"M","Outside/Open Areas",202010
202010,20,0,41970,925853,"D","10/20/2020 00:00:00",,"M","Outside/Open Areas",202010
202010,14,0,41980,923474,"D","10/14/2020 00:00:00",86,"M","Permanent Home",202010
202010,14,0,41981,923474,"D","10/14/2020 00:00:00",84,"F","Permanent Home",202010
202010,28,0,41984,925293,"D","10/28/2020 00:00:00",,"","Unknown",202010
202010,28,0,41985,926246,"I","10/28/2020 00:00:00",,"M","Outside/Open Areas",202010
202010,28,0,41986,926247,"D","10/28/2020 00:00:00",58,"M","In Water",202010
202010,7,0,41987,923293,"D","10/07/2020 00:00:00",,"M","Vehicle/Towed Trailer",202010
202010,22,0,41988,924369,"I","10/22/2020 00:00:00",84,"M","Vehicle/Towed Trailer",202010
202010,9,0,41989,925936,"D","10/09/2020 00:00:00",70,"F","Permanent Home",202010
202010,14,0,41990,925936,"D","10/14/2020 00:00:00",73,"M","Permanent Home",202010
202010,9,0,41991,925952,"D","10/09/2020 00:00:00",86,"M","Permanent Structure",202010
202010,9,0,41992,925854,"D","10/09/2020 00:00:00",,"","In Water",202010
202010,27,0,41995,924694,"I","10/27/2020 00:00:00",80,"F","Unknown",202010
202010,26,0,41996,925037,"I","10/26/2020 00:00:00",67,"M","Vehicle/Towed Trailer",202010
202002,7,0,40520,867876,"I","02/07/2020 00:00:00",34,"F","Vehicle/Towed Trailer",202002
202007,3,0,41108,891663,"D","07/03/2020 00:00:00",9,"F","Under Tree",202007
202002,7,0,40522,867881,"I","02/07/2020 00:00:00",80,"M","Vehicle/Towed Trailer",202002
202007,3,0,41158,893619,"D","07/03/2020 00:00:00",26,"M","In Water",202007
202002,6,0,40552,868112,"D","02/06/2020 00:00:00",74,"M","Vehicle/Towed Trailer",202002
202002,9,0,40557,868267,"I","02/09/2020 00:00:00",32,"F","Vehicle/Towed Trailer",202002
202002,13,0,40775,868619,"D","02/13/2020 00:00:00",49,"F","Vehicle/Towed Trailer",202002
202002,11,0,40604,869330,"D","02/11/2020 00:00:00",65,"M","Outside/Open Areas",202002
202002,14,0,40607,869338,"D","02/14/2020 00:00:00",73,"F","Permanent Home",202002
202002,17,0,40608,869355,"D","02/17/2020 00:00:00",72,"M","Outside/Open Areas",202002
202002,14,0,40711,869390,"D","02/14/2020 00:00:00",73,"M","Vehicle/Towed Trailer",202002
202002,9,0,40749,869643,"D","02/09/2020 00:00:00",32,"F","Vehicle/Towed Trailer",202002
202002,22,0,40628,870187,"D","02/22/2020 00:00:00",44,"M","In Water",202002
202002,15,0,40650,870789,"D","02/15/2020 00:00:00",28,"M","Outside/Open Areas",202002
202002,15,0,40651,870789,"D","02/15/2020 00:00:00",30,"M","Outside/Open Areas",202002
202002,25,0,40664,871644,"D","02/25/2020 00:00:00",21,"M","Outside/Open Areas",202002
202002,10,0,40665,871646,"D","02/10/2020 00:00:00",32,"M","Outside/Open Areas",202002
202002,25,0,40746,871919,"I","02/25/2020 00:00:00",26,"M","Vehicle/Towed Trailer",202002
202002,6,0,40787,871967,"D","02/06/2020 00:00:00",61,"F","Unknown",202002
202002,7,0,40782,872848,"I","02/07/2020 00:00:00",19,"M","Vehicle/Towed Trailer",202002
202002,15,0,40683,872925,"D","02/15/2020 00:00:00",37,"F","Outside/Open Areas",202002
202002,9,0,40776,874819,"I","02/09/2020 00:00:00",30,"F","Vehicle/Towed Trailer",202002
202002,14,0,40777,875298,"I","02/14/2020 00:00:00",39,"M","Vehicle/Towed Trailer",202002
202002,13,0,40768,875856,"I","02/13/2020 00:00:00",45,"M","Vehicle/Towed Trailer",202002
202002,13,0,40769,875856,"I","02/13/2020 00:00:00",18,"M","Vehicle/Towed Trailer",202002
202002,12,0,40780,876089,"I","02/12/2020 00:00:00",41,"M","Vehicle/Towed Trailer",202002
202002,7,0,40767,876110,"I","02/07/2020 00:00:00",27,"M","Vehicle/Towed Trailer",202002
202002,6,0,40751,876151,"I","02/06/2020 00:00:00",25,"M","Vehicle/Towed Trailer",202002
202007,12,0,41155,893623,"D","07/12/2020 00:00:00",65,"M","In Water",202007
202002,4,0,40788,878823,"I","02/04/2020 00:00:00",,"","Vehicle/Towed Trailer",202002
202002,5,0,40797,879200,"D","02/05/2020 00:00:00",82,"M","Vehicle/Towed Trailer",202002
202002,13,0,40798,879214,"D","02/13/2020 00:00:00",64,"M","Vehicle/Towed Trailer",202002
202002,26,0,40799,879215,"I","02/26/2020 00:00:00",34,"M","Vehicle/Towed Trailer",202002
202002,15,0,40804,879903,"D","02/15/2020 00:00:00",27,"M","In Water",202002
202007,12,0,41156,893627,"D","07/12/2020 00:00:00",72,"M","In Water",202007
202007,12,0,41157,893627,"D","07/12/2020 00:00:00",73,"M","In Water",202007
202007,15,0,41173,895649,"D","07/15/2020 00:00:00",14,"M","In Water",202007
202007,22,0,41174,895656,"D","07/22/2020 00:00:00",33,"M","In Water",202007
202007,7,0,41182,896866,"I","07/07/2020 00:00:00",37,"M","Other",202007
202007,27,0,41184,897151,"D","07/27/2020 00:00:00",40,"M","In Water",202007
202007,8,0,41364,898307,"D","07/08/2020 00:00:00",30,"M","Permanent Structure",202007
202007,30,0,41343,898711,"D","07/30/2020 00:00:00",15,"M","Heavy Equipment/Construction",202007
202007,18,0,41233,901230,"D","07/18/2020 00:00:00",19,"M","In Water",202007
202007,10,0,41244,903180,"I","07/10/2020 00:00:00",,"","In Water",202007
202007,16,0,41254,904156,"D","07/16/2020 00:00:00",26,"M","In Water",202007
202007,1,0,41268,906088,"D","07/01/2020 00:00:00",67,"M","In Water",202007
202007,10,0,41299,908260,"D","07/10/2020 00:00:00",34,"M","Outside/Open Areas",202007
202007,7,0,41280,908264,"I","07/07/2020 00:00:00",24,"F","In Water",202007
202007,30,0,41305,910956,"D","07/30/2020 00:00:00",50,"F","In Water",202007
202007,8,0,41310,911321,"I","07/08/2020 00:00:00",,"M","Vehicle/Towed Trailer",202007
202007,26,0,41344,911564,"I","07/26/2020 00:00:00",46,"M","Vehicle/Towed Trailer",202007
202007,31,0,41438,912593,"D","07/31/2020 00:00:00",65,"F","Under Tree",202007
202007,6,0,41389,913052,"D","07/06/2020 00:00:00",43,"M","Under Tree",202007
202007,6,0,41390,913052,"D","07/06/2020 00:00:00",34,"M","Under Tree",202007
202007,4,0,41373,913529,"D","07/04/2020 00:00:00",1,"F","Vehicle/Towed Trailer",202007
202007,9,0,41410,914537,"D","07/09/2020 00:00:00",19,"M","In Water",202007
202001,10,0,40525,865661,"I","01/10/2020 00:00:00",18,"M","Vehicle/Towed Trailer",202001
202001,26,0,40678,872072,"I","01/26/2020 00:00:00",24,"M","Vehicle/Towed Trailer",202001
202001,23,0,40770,877673,"I","01/23/2020 00:00:00",56,"M","Vehicle/Towed Trailer",202001
202001,23,0,40771,877673,"I","01/23/2020 00:00:00",56,"F","Vehicle/Towed Trailer",202001
